name value weight group
f_piez_FP007t63925200.0 417.031 20 f_piez_FP007
f_piez_FP007t63928800.0 417.02992 20 f_piez_FP007
f_piez_FP007t63932400.0 417.03033 20 f_piez_FP007
f_piez_FP007t63936000.0 417.02475 20 f_piez_FP007
f_piez_FP007t63939600.0 417.02467 20 f_piez_FP007
f_piez_FP007t63943200.0 417.02075 20 f_piez_FP007
f_piez_FP007t63946800.0 417.01192 20 f_piez_FP007
f_piez_FP007t63950400.0 417.018 20 f_piez_FP007
f_piez_FP007t63954000.0 417.015 20 f_piez_FP007
f_piez_FP007t63957600.0 417.02192 20 f_piez_FP007
f_piez_FP007t63961200.0 417.0365 20 f_piez_FP007
f_piez_FP007t63964800.0 417.05267 20 f_piez_FP007
f_piez_FP007t63968400.0 417.08617 20 f_piez_FP007
f_piez_FP007t63972000.0 417.12392 20 f_piez_FP007
f_piez_FP007t63975600.0 417.16917 20 f_piez_FP007
f_piez_FP007t63979200.0 417.20967 20 f_piez_FP007
f_piez_FP007t63982800.0 417.25367 20 f_piez_FP007
f_piez_FP007t63986400.0 417.31867 20 f_piez_FP007
f_piez_FP007t63990000.0 417.37742 20 f_piez_FP007
f_piez_FP007t63993600.0 417.43492 20 f_piez_FP007
f_piez_FP007t63997200.0 417.49358 20 f_piez_FP007
f_piez_FP007t64000800.0 417.53692 20 f_piez_FP007
f_piez_FP007t64004400.0 417.57592 20 f_piez_FP007
f_piez_FP007t64008000.0 417.60942 20 f_piez_FP007
f_piez_FP007t64011600.0 417.64708 20 f_piez_FP007
f_piez_FP007t64015200.0 417.67917 20 f_piez_FP007
f_piez_FP007t64018800.0 417.71517 20 f_piez_FP007
f_piez_FP007t64022400.0 417.75558 20 f_piez_FP007
f_piez_FP007t64026000.0 417.80058 20 f_piez_FP007
f_piez_FP007t64029600.0 417.83767 20 f_piez_FP007
f_piez_FP007t64033200.0 417.87533 20 f_piez_FP007
f_piez_FP007t64036800.0 417.90667 20 f_piez_FP007
f_piez_FP007t64040400.0 417.94175 20 f_piez_FP007
f_piez_FP007t64044000.0 417.97308 20 f_piez_FP007
f_piez_FP007t64047600.0 418.00192 20 f_piez_FP007
f_piez_FP007t64051200.0 418.02792 20 f_piez_FP007
f_piez_FP007t64054800.0 418.05817 20 f_piez_FP007
f_piez_FP007t64058400.0 418.08525 20 f_piez_FP007
f_piez_FP007t64062000.0 418.10867 20 f_piez_FP007
f_piez_FP007t64065600.0 418.122 20 f_piez_FP007
f_piez_FP007t64069200.0 418.13475 20 f_piez_FP007
f_piez_FP007t64072800.0 418.13442 20 f_piez_FP007
f_piez_FP007t64076400.0 418.145 20 f_piez_FP007
f_piez_FP007t64080000.0 418.13975 20 f_piez_FP007
f_piez_FP007t64083600.0 418.14392 20 f_piez_FP007
f_piez_FP007t64087200.0 418.14692 20 f_piez_FP007
f_piez_FP007t64090800.0 418.14733 20 f_piez_FP007
f_piez_FP007t64094400.0 418.1425 20 f_piez_FP007
f_piez_FP007t64098000.0 418.14225 20 f_piez_FP007
f_piez_FP007t64101600.0 418.13842 20 f_piez_FP007
f_piez_FP007t64105200.0 418.14267 20 f_piez_FP007
f_piez_FP007t64108800.0 418.13875 20 f_piez_FP007
f_piez_FP007t64112400.0 418.13592 20 f_piez_FP007
f_piez_FP007t64116000.0 418.13458 20 f_piez_FP007
f_piez_FP007t64119600.0 418.13 20 f_piez_FP007
f_piez_FP007t64123200.0 418.12692 20 f_piez_FP007
f_piez_FP007t64126800.0 418.1215 20 f_piez_FP007
f_piez_FP007t64130400.0 418.12017 20 f_piez_FP007
f_piez_FP007t64134000.0 418.12008 20 f_piez_FP007
f_piez_FP007t64137600.0 418.11425 20 f_piez_FP007
f_piez_FP007t64141200.0 418.11575 20 f_piez_FP007
f_piez_FP007t64144800.0 418.11225 20 f_piez_FP007
f_piez_FP007t64148400.0 418.10483 20 f_piez_FP007
f_piez_FP007t64152000.0 418.09817 20 f_piez_FP007
f_piez_FP007t64155600.0 418.0925 20 f_piez_FP007
f_piez_FP007t64159200.0 418.08467 20 f_piez_FP007
f_piez_FP007t64162800.0 418.071 20 f_piez_FP007
f_piez_FP007t64166400.0 418.06058 20 f_piez_FP007
f_piez_FP007t64170000.0 418.04367 20 f_piez_FP007
f_piez_FP007t64173600.0 418.03025 20 f_piez_FP007
f_piez_FP007t64177200.0 418.01817 20 f_piez_FP007
f_piez_FP007t64180800.0 418.003 20 f_piez_FP007
f_piez_FP007t64184400.0 417.98825 20 f_piez_FP007
f_piez_FP007t64188000.0 417.97092 20 f_piez_FP007
f_piez_FP007t64191600.0 417.96208 20 f_piez_FP007
f_piez_FP007t64195200.0 417.95017 20 f_piez_FP007
f_piez_FP007t64198800.0 417.9335 20 f_piez_FP007
f_piez_FP007t64202400.0 417.92008 20 f_piez_FP007
f_piez_FP007t64206000.0 417.91125 20 f_piez_FP007
f_piez_FP007t64209600.0 417.89825 20 f_piez_FP007
f_piez_FP007t64213200.0 417.89625 20 f_piez_FP007
f_piez_FP007t64216800.0 417.88942 20 f_piez_FP007
f_piez_FP007t64220400.0 417.88417 20 f_piez_FP007
f_piez_FP007t64224000.0 417.87683 20 f_piez_FP007
f_piez_FP007t64227600.0 417.868 20 f_piez_FP007
f_piez_FP007t64231200.0 417.8635 20 f_piez_FP007
f_piez_FP007t64234800.0 417.86067 20 f_piez_FP007
f_piez_FP007t64238400.0 417.86475 20 f_piez_FP007
f_piez_FP007t64242000.0 417.86067 20 f_piez_FP007
f_piez_FP007t64245600.0 417.85725 20 f_piez_FP007
f_piez_FP007t64249200.0 417.854 20 f_piez_FP007
f_piez_FP007t64252800.0 417.85533 20 f_piez_FP007
f_piez_FP007t64256400.0 417.85642 20 f_piez_FP007
f_piez_FP007t64260000.0 417.85817 20 f_piez_FP007
f_piez_FP007t64263600.0 417.86117 20 f_piez_FP007
f_piez_FP007t64267200.0 417.86267 20 f_piez_FP007
f_piez_FP007t64270800.0 417.86633 20 f_piez_FP007
f_piez_FP007t64274400.0 417.87208 20 f_piez_FP007
f_piez_FP007t64278000.0 417.8725 20 f_piez_FP007
f_piez_FP007t64281600.0 417.8815 20 f_piez_FP007
f_piez_FP007t64285200.0 417.88842 20 f_piez_FP007
f_piez_FP007t64288800.0 417.89492 20 f_piez_FP007
f_piez_FP007t64292400.0 417.905 20 f_piez_FP007
f_piez_FP007t64296000.0 417.91708 20 f_piez_FP007
f_piez_FP007t64299600.0 417.93392 20 f_piez_FP007
f_piez_FP007t64303200.0 417.94775 20 f_piez_FP007
f_piez_FP007t64306800.0 417.96483 20 f_piez_FP007
f_piez_FP007t64310400.0 417.98 20 f_piez_FP007
f_piez_FP007t64314000.0 417.99383 20 f_piez_FP007
f_piez_FP007t64317600.0 418.0085 20 f_piez_FP007
f_piez_FP007t64321200.0 418.018 20 f_piez_FP007
f_piez_FP007t64324800.0 418.03033 20 f_piez_FP007
f_piez_FP007t64328400.0 418.03983 20 f_piez_FP007
f_piez_FP007t64332000.0 418.0605 20 f_piez_FP007
f_piez_FP007t64335600.0 418.07942 20 f_piez_FP007
f_piez_FP007t64339200.0 418.09817 20 f_piez_FP007
f_piez_FP007t64342800.0 418.10625 20 f_piez_FP007
f_piez_FP007t64346400.0 418.11792 20 f_piez_FP007
f_piez_FP007t64350000.0 418.12375 20 f_piez_FP007
f_piez_FP007t64353600.0 418.12983 20 f_piez_FP007
f_piez_FP007t64357200.0 418.13183 20 f_piez_FP007
f_piez_FP007t64360800.0 418.13317 20 f_piez_FP007
f_piez_FP007t64364400.0 418.13575 20 f_piez_FP007
f_piez_FP007t64368000.0 418.13617 20 f_piez_FP007
f_piez_FP007t64371600.0 418.13658 20 f_piez_FP007
f_piez_FP007t64375200.0 418.13567 20 f_piez_FP007
f_piez_FP007t64378800.0 418.13483 20 f_piez_FP007
f_piez_FP007t64382400.0 418.13608 20 f_piez_FP007
f_piez_FP007t64386000.0 418.12917 20 f_piez_FP007
f_piez_FP007t64389600.0 418.13217 20 f_piez_FP007
f_piez_FP007t64393200.0 418.12458 20 f_piez_FP007
f_piez_FP007t64396800.0 418.12458 20 f_piez_FP007
f_piez_FP007t64400400.0 418.12283 20 f_piez_FP007
f_piez_FP007t64404000.0 418.11958 20 f_piez_FP007
f_piez_FP007t64407600.0 418.11933 20 f_piez_FP007
f_piez_FP007t64411200.0 418.12133 20 f_piez_FP007
f_piez_FP007t64414800.0 418.1215 20 f_piez_FP007
f_piez_FP007t64418400.0 418.1185 20 f_piez_FP007
f_piez_FP007t64422000.0 418.12008 20 f_piez_FP007
f_piez_FP007t64425600.0 418.11842 20 f_piez_FP007
f_piez_FP007t64429200.0 418.11925 20 f_piez_FP007
f_piez_FP007t64432800.0 418.11675 20 f_piez_FP007
f_piez_FP007t64436400.0 418.1135 20 f_piez_FP007
f_piez_FP007t64440000.0 418.11117 20 f_piez_FP007
f_piez_FP007t64443600.0 418.11242 20 f_piez_FP007
f_piez_FP007t64447200.0 418.10517 20 f_piez_FP007
f_piez_FP007t64450800.0 418.10192 20 f_piez_FP007
f_piez_FP007t64454400.0 418.09717 20 f_piez_FP007
f_piez_FP007t64458000.0 418.09117 20 f_piez_FP007
f_piez_FP007t64461600.0 418.08383 20 f_piez_FP007
f_piez_FP007t64465200.0 418.08467 20 f_piez_FP007
f_piez_FP007t64468800.0 418.07758 20 f_piez_FP007
f_piez_FP007t64472400.0 418.06375 20 f_piez_FP007
f_piez_FP007t64476000.0 418.04992 20 f_piez_FP007
f_piez_FP007t64479600.0 418.03958 20 f_piez_FP007
f_piez_FP007t64483200.0 418.03942 20 f_piez_FP007
f_piez_FP007t64486800.0 418.02667 20 f_piez_FP007
f_piez_FP007t64490400.0 418.02217 20 f_piez_FP007
f_piez_FP007t64494000.0 418.01917 20 f_piez_FP007
f_piez_FP007t64497600.0 418.01267 20 f_piez_FP007
f_piez_FP007t64501200.0 418.00858 20 f_piez_FP007
f_piez_FP007t64504800.0 418.00683 20 f_piez_FP007
f_piez_FP007t64508400.0 418.00683 20 f_piez_FP007
f_piez_FP007t64512000.0 418.00842 20 f_piez_FP007
f_piez_FP007t64515600.0 418.00792 20 f_piez_FP007
f_piez_FP007t64519200.0 418.00667 20 f_piez_FP007
f_piez_FP007t64522800.0 418.00667 20 f_piez_FP007
f_piez_FP007t64526400.0 418.00517 20 f_piez_FP007
f_piez_FP007t64530000.0 418.013 20 f_piez_FP007
f_piez_FP007t64533600.0 418.0095 20 f_piez_FP007
