,percent_reduce,post,prior
hkr36c16,0.0009284859581144745,79633.29520138436,79634.03459221343
hkr36c17,0.0009284859581144745,79633.29520138436,79634.03459221343
hkr36c14,0.0009291237414620725,79578.631586245,79579.37097707405
rcond04,0.0009284859721625177,79633.2939965171,79634.03338734616
hkr36c18,0.0009284859581144745,79633.29520138436,79634.03459221343
rcond07,0.0009284859971002708,79633.29185453086,79634.0312453599
hkr01c14,0.0009276576774333185,79633.28729311336,79634.02602426962
hkr01c15,0.000928485983070497,79633.2930593984,79634.03245022746
hkr01c16,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr01c17,0.0009284859580962014,79633.29520138436,79634.03459221341
hkr01c10,0.000923739723223253,79633.26029173899,79633.99590259233
hkr01c11,0.0009247131683677908,79633.26393435086,79634.00032043832
hkr01c12,0.0009242661295497408,79633.25023369292,79633.98626365556
hkr01c13,0.0009245424783142349,79633.25001362538,79633.98626365556
hkr35c13,0.0009179430876957828,79555.97861436133,79556.70889967147
rcond01,0.0009284859596570948,79633.29506751023,79634.03445833929
hkr35c11,0.0009211946485648036,79598.34398530962,79599.07724774953
hkr35c10,0.00092396292235437,79620.4336190608,79621.16928914338
hkr01c18,0.0009284859643397752,79633.29466588786,79634.03405671692
hkr01c19,0.0009284859596570948,79633.29506751023,79634.03445833929
hkr35c15,0.0009284859830339501,79633.29305939843,79634.03245022746
hkr24c07,0.0009063504858623204,79630.38047657566,79631.10221345747
hkr06c19,0.0009284859596570947,79633.29506751025,79634.0344583393
hkr06c18,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr06c15,0.0009284859596753681,79633.29506751023,79634.0344583393
hkr06c14,0.0009279663509202304,79633.28905539746,79634.02803238148
hkr06c17,0.0009284859643397751,79633.29466588788,79634.03405671693
hkr06c16,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr06c11,0.0009251696395193355,79633.26772090401,79634.0044705361
hkr06c10,0.0009235709323660786,79633.26484395908,79634.00032043832
hkr06c13,0.0009265359983816649,79633.27747652109,79634.01531433994
hkr33c03,0.0009380909222173283,79627.3837591919,79628.13074345794
hkr12c11,0.0009282459552897496,79633.28682464403,79634.02602426964
