name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR04C14,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C15,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C16,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C17,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C18,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C19,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C20,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C21,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C22,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C23,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C24,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C25,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C26,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C27,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C28,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C29,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C30,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR04C31,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR04C32,2.30103,0.5,1.30103,3.30103,2.30103,0.499998,1.30103,3.30103
KR04C33,2.30103,0.5,1.30103,3.30103,2.30103,0.499995,1.30104,3.30102
KR04C34,2.30103,0.5,1.30103,3.30103,2.30103,0.499991,1.30105,3.30101
KR04C35,2.30103,0.5,1.30103,3.30103,2.30103,0.499989,1.30105,3.30101
KR04C36,2.30103,0.5,1.30103,3.30103,2.30103,0.49995,1.30113,3.30093
KR04C37,2.30103,0.5,1.30103,3.30103,2.30103,0.499915,1.3012,3.30086
