name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HKR08C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.498683,-0.22303,1.7717
HKR08C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.498944,-0.223554,1.77222
HKR08C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.498549,-0.222762,1.77143
HKR08C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.48867,-0.203005,1.75168
HKR08C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.499642,-0.22495,1.77362
HKR08C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.48899,-0.203644,1.75231
HKR08C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.498082,-0.221829,1.7705
HKR08C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499443,-0.224551,1.77322
HKR08C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499668,-0.225001,1.77367
HKR09C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499895,-0.225455,1.77413
HKR09C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.49957,-0.224804,1.77347
HKR09C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.497425,-0.220514,1.76918
HKR09C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.49802,-0.221705,1.77038
HKR09C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.497688,-0.221041,1.76971
HKR09C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.498311,-0.222287,1.77096
HKR09C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.498799,-0.223263,1.77193
HKR09C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.499138,-0.223941,1.77261
HKR09C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.499085,-0.223835,1.77251
HKR09C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.499917,-0.225499,1.77417
HKR09C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.497784,-0.221232,1.7699
HKR09C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.497137,-0.219939,1.76861
HKR09C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.499576,-0.224818,1.77349
HKR09C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.499728,-0.22512,1.77379
HKR09C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499899,-0.225463,1.77413
HKR09C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499856,-0.225376,1.77405
HKR10C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.49999,-0.225646,1.77432
HKR10C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499982,-0.225628,1.7743
HKR10C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499824,-0.225313,1.77398
HKR10C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499812,-0.225289,1.77396
HKR10C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.498833,-0.223332,1.772
HKR10C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.49872,-0.223105,1.77178
HKR10C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.499346,-0.224356,1.77303
HKR10C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.498529,-0.222724,1.77139
HKR10C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.499666,-0.224996,1.77367
HKR10C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.499787,-0.225239,1.77391
HKR10C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.499834,-0.225333,1.774
HKR10C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.499846,-0.225357,1.77403
HKR10C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.49978,-0.225225,1.7739
HKR10C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.499897,-0.225459,1.77413
HKR10C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.499948,-0.225561,1.77423
HKR10C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499916,-0.225496,1.77417
HKR11C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499999,-0.225662,1.77433
HKR11C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499988,-0.22564,1.77431
HKR11C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.499866,-0.225396,1.77407
HKR11C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.499981,-0.225626,1.7743
HKR11C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.499393,-0.22445,1.77312
HKR11C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.499125,-0.223915,1.77259
HKR11C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.499491,-0.224647,1.77332
HKR11C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.499537,-0.224739,1.77341
HKR11C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.496708,-0.219082,1.76775
HKR11C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.499058,-0.22378,1.77245
HKR11C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.499408,-0.22448,1.77315
HKR11C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.499559,-0.224782,1.77345
HKR11C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.49978,-0.225225,1.7739
HKR11C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.499932,-0.225529,1.7742
HKR11C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.49994,-0.225544,1.77422
HKR11C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499916,-0.225497,1.77417
HKR12C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499994,-0.225652,1.77432
HKR12C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.49999,-0.225644,1.77431
HKR12C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.49999,-0.225644,1.77431
HKR12C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.49999,-0.225644,1.77431
HKR12C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.499701,-0.225067,1.77374
HKR12C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.499207,-0.22408,1.77275
HKR12C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.498925,-0.223514,1.77218
HKR12C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.499907,-0.225479,1.77415
