name,x,y,z,mean_kh,sd_kh,major,transverse,normal,anisotropy,bearing,dip,layer
199_11,1680281.4905325829,5401861.768442976,10,19.65586,0.5,900,250,5,3.6,55,1,4
196_0,1667776.8128071907,5404279.083181673,0.5,118.1141,0.5,900,300,5,3,10,1,1
196_1,1675215.3978989336,5402694.644942099,0.5,100.43979999999999,0.5,900,300,5,3,61,1,1
196_2,1676748.122247375,5401625.797752903,0.5,355.9906,0.5,900,300,5,3,343,1,1
196_3,1667776.8128071907,5404279.083181673,2,100.3794,0.5,900,300,5,3,10,1,2
196_4,1675215.3978989336,5402694.644942099,2,17.43647,0.5,900,300,5,3,61,1,2
196_5,1676748.122247375,5401625.797752903,2,36.03575,0.5,900,300,5,3,343,1,2
196_6,1667776.8128071907,5404279.083181673,5,153.1155,0.5,900,300,5,3,10,1,3
196_7,1675215.3978989336,5402694.644942099,5,44.57355,0.5,900,300,5,3,61,1,3
196_8,1676748.122247375,5401625.797752903,5,617.5301000000001,0.5,900,300,5,3,343,1,3
196_9,1667776.8128071907,5404279.083181673,10,559.8249,0.5,900,300,5,3,10,1,4
196_10,1675215.3978989336,5402694.644942099,10,1.142798,0.5,900,300,5,3,61,1,4
196_11,1676748.122247375,5401625.797752903,10,103.6989,0.5,900,300,5,3,343,1,4
196_12,1680281.4905325829,5401861.768442976,16.999999985000002,17.278850000000002,0.5,900,300,5,3,55,1,5
196_13,1667776.8128071907,5404279.083181673,17,125.8492,0.5,900,300,5,3,20,1,5
196_14,1673937.272888658,5403623.216709121,17,30.90966,0.5,900,300,5,3,40,1,5
196_15,1675215.3978989336,5402694.644942099,17,32.39114,0.5,900,300,5,3,61,1,5
196_16,1676748.122247375,5401625.797752903,17,90.65283,0.5,900,300,5,3,343,1,5
196_17,1680281.4905325829,5401861.768442976,25.99999997,50.94174,0.5,900,300,5,3,55,1,6
196_18,1667776.8128071907,5404279.083181673,26,160.1616,0.5,900,300,5,3,20,1,6
196_19,1673937.272888658,5403623.216709121,26,54.81432,0.5,900,300,5,3,40,1,6
196_20,1675215.3978989336,5402694.644942099,26,14.965860000000001,0.5,900,300,5,3,61,1,6
196_21,1676748.122247375,5401625.797752903,26,45.90683,0.5,900,300,5,3,343,1,6
196_22,1680281.4905325829,5401861.768442976,35.99999997,12.34072,0.5,900,300,5,3,55,1,7
196_23,1667776.8128071907,5404279.083181673,36,313.5625,0.5,900,300,5,3,20,1,7
196_24,1673937.272888658,5403623.216709121,36,421.8998,0.5,900,300,5,3,40,1,7
196_25,1675215.3978989336,5402694.644942099,36,180.6176,0.5,900,300,5,3,61,1,7
196_26,1676748.122247375,5401625.797752903,36,171.3203,0.5,900,300,5,3,343,1,7
192_0,1677295.7268201346,5403403.355,0.5,0.6852461000000001,0.1,5000,166.6666667,5,30,55,0.01,1
