name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_218,1924575,5604197,-10,485.37,133.47,1420,6.11,67.4,1,54.7,74.83,4.49,5,1,300
manual_219,1923649,5604250,-10,731.9,170.05,1220,3.52,140.1,1,11,318.75,1.18,5,1,300
manual_220,1922802,5604488,-10,606.39,295.48,980,6.2,100.9,1,39.3,348.71,4.45,5,1,300
manual_221,1921797,5604646,-10,159.63,103.24,920,6.3,89.5,1,29.5,116.62,2.04,5,1,300
manual_222,1920897,5604673,-10,75.02,50.37,760,6.8,85.3,1,29.5,162.48,2.14,5,1,300
manual_223,1919865,5604779,-10,17.16,12.52,1420,4.95,123.9,1,15,40,1.08,5,1,300
manual_224,1922485,5606128,-10,177.55,60.92,1420,5.23,68,1,4,40,1.13,5,1,300
manual_225,1921744,5606155,-10,239.04,69.51,1340,2.75,52.6,1,31.6,135.65,0.55,5,1,300
manual_226,1921030,5605943,-10,223.02,122.62,1420,7.53,54,1,10.2,74.83,3.39,5,1,300
manual_227,1920209,5605758,-10,28.51,23.4,1420,9.4,117.5,1,52.9,40,3.83,5,1,300
manual_228,1919363,5605652,-10,54.29,43.16,1440,3.46,156,1,10.2,48.99,1.14,5,1,300
manual_229,1918701,5605572,-10,54.88,26.72,1420,4.03,137.5,1,59.9,116.62,1.8,5,1,300
manual_230,1918119,5605599,-10,89.8,51.53,1400,4.25,83.6,1,47.3,154.92,1.67,5,1,300
manual_231,1917325,5605678,-10,78.31,61.6,1240,4.9,86.2,1,13.6,149.67,0.83,5,1,300
manual_232,1916664,5605599,-10,128.16,63.96,1080,3.58,73.9,1,15,406.94,0.69,5,1,300
manual_233,1916029,5606102,-10,333.06,165.9,860,5.9,48,1,9.8,101.98,2.97,5,1,300
manual_234,1922855,5606472,-10,175.37,72.05,1040,3.1,76,1,10.2,80,0.36,5,1,300
manual_235,1923331,5607239,-10,435.14,156.49,1280,9.3,22.3,1,54.9,348.71,3.97,5,1,300
manual_236,1928570,5609224,-10,1943.39,132.01,780,4.8,119.8,1,15.5,263.82,4.15,5,1,300
manual_237,1927962,5608403,-10,1947.45,208.94,1360,7.27,69.1,1,36.5,80,3.48,5,1,300
manual_238,1927141,5608853,-10,2253.47,53.93,1300,5.13,97.7,1,50.1,352.14,1.44,5,1,300
manual_239,1926374,5608509,-10,1569.84,364.02,1400,9,59.9,1,29.9,200,3.39,5,1,300
manual_240,1925131,5608509,-10,754.31,145.98,1340,5.13,54,1,4.9,48.99,1.36,5,1,300
manual_241,1924284,5608245,-10,414.04,122.5,1140,4.5,68,1,9.8,135.65,0.8,5,1,300
